fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,fp_lam_index,n_test_images,n_test_components,n_missed_components,region_fnr_component_avg,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,,-1,True,,0.5557867494824016,0.0010211477056145668,,,500,,,0.5277777777777778,,False,,,,,,0,person,0.05,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,,-1,True,,0.5557867494824016,0.0010211477056145668,,,500,,,0.5277777777777778,,False,,,,,,0,person,0.1,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,0.999,999,True,0.29231884057971014,0.29231884057971014,0.01841137930750847,,-1.0,115,252.0,66.0,0.2619047619047619,0.37000000000000005,True,0.37575757575757573,0.05063291139240506,0.0,,,0,person,0.2,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,0.999,999,True,0.29231884057971014,0.29231884057971014,0.01841137930750847,,-1.0,115,252.0,66.0,0.2619047619047619,0.37000000000000005,True,0.37575757575757573,0.05063291139240506,0.0,,,0,person,0.2,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,0.999,999,True,0.29231884057971014,0.29231884057971014,0.01841137930750847,,-1.0,115,252.0,66.0,0.2619047619047619,0.37000000000000005,True,0.37575757575757573,0.05063291139240506,0.0,,,0,person,0.2,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,,-1,True,,0.5557867494824016,0.0010211477056145668,,,500,,,0.5277777777777778,,False,,,,,,0,person,0.2,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.05,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,,-1,True,,0.6365320910973085,0.0010211477056145668,,,500,,,0.6111111111111112,,False,,,,,,0,person,0.05,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.1,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,,-1,True,,0.6365320910973085,0.0010211477056145668,,,500,,,0.6111111111111112,,False,,,,,,0,person,0.1,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.2,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,0.999,999,True,0.33557971014492755,0.33557971014492755,0.01841137930750847,,-1.0,115,252.0,78.0,0.30952380952380953,0.37000000000000005,True,0.42424242424242425,0.10126582278481013,0.0,,,0,person,0.2,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,person,0.2,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,,-1,True,,0.6365320910973085,0.0010211477056145668,,,500,,,0.6111111111111112,,False,,,,,,0,person,0.2,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,202
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,,-1,True,,0.6505376344086021,0.00017283661873079836,,,500,,,0.6341463414634146,,False,,,,,,0,rider,0.05,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,,-1,True,,0.6505376344086021,0.00017283661873079836,,,500,,,0.6341463414634146,,False,,,,,,0,rider,0.1,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,,-1,True,,0.6505376344086021,0.00017283661873079836,,,500,,,0.6341463414634146,,False,,,,,,0,rider,0.2,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,,-1,True,,0.7150537634408601,0.00017283661873079836,,,500,,,0.6829268292682927,,False,,,,,,0,rider,0.05,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,,-1,True,,0.7150537634408601,0.00017283661873079836,,,500,,,0.6829268292682927,,False,,,,,,0,rider,0.1,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.2,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,,-1,True,,0.7150537634408601,0.00017283661873079836,,,500,,,0.6829268292682927,,False,,,,,,0,rider,0.2,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,127
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,,-1,True,,0.6655405405405406,0.00029489005100913346,,,500,,,0.6323529411764706,,False,,,,,,0,bicycle,0.05,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,,-1,True,,0.6655405405405406,0.00029489005100913346,,,500,,,0.6323529411764706,,False,,,,,,0,bicycle,0.1,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.2,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,0.999,999,True,0.31756756756756754,0.31756756756756754,0.012389778159558773,,-1.0,37,68.0,23.0,0.3382352941176471,0.36200000000000004,True,0.525,0.08333333333333333,0.0,,,0,bicycle,0.2,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.2,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,,-1,True,,0.6655405405405406,0.00029489005100913346,,,500,,,0.6323529411764706,,False,,,,,,0,bicycle,0.2,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,,-1,True,,0.7308558558558558,0.00029489005100913346,,,500,,,0.6911764705882353,,False,,,,,,0,bicycle,0.05,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.1,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,,-1,True,,0.7308558558558558,0.00029489005100913346,,,500,,,0.6911764705882353,,False,,,,,,0,bicycle,0.1,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.2,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,0.999,999,True,0.40765765765765766,0.40765765765765766,0.012389778159558773,,-1.0,37,68.0,27.0,0.39705882352941174,0.36200000000000004,True,0.6,0.125,0.0,,,0,bicycle,0.2,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.2,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,,-1,True,,0.7308558558558558,0.00029489005100913346,,,500,,,0.6911764705882353,,False,,,,,,0,bicycle,0.2,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,180
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.05,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.05,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.05,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,,-1,True,,0.5557867494824016,0.0010211477056145668,,,500,,,0.5277777777777778,,False,,,,,,1,person,0.05,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.1,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.1,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.1,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,,-1,True,,0.5557867494824016,0.0010211477056145668,,,500,,,0.5277777777777778,,False,,,,,,1,person,0.1,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,0.998,998,True,0.30971014492753624,0.3097101449275362,0.013873342424631119,,-1.0,115,252.0,70.0,0.2777777777777778,0.424,True,0.3878787878787879,0.0759493670886076,0.0,,,1,person,0.2,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,0.998,998,True,0.30971014492753624,0.3097101449275362,0.013873342424631119,,-1.0,115,252.0,70.0,0.2777777777777778,0.424,True,0.3878787878787879,0.0759493670886076,0.0,,,1,person,0.2,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,0.998,998,True,0.30971014492753624,0.3097101449275362,0.013873342424631119,,-1.0,115,252.0,70.0,0.2777777777777778,0.424,True,0.3878787878787879,0.0759493670886076,0.0,,,1,person,0.2,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,,-1,True,,0.5557867494824016,0.0010211477056145668,,,500,,,0.5277777777777778,,False,,,,,,1,person,0.2,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.05,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.05,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.05,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,,-1,True,,0.6365320910973085,0.0010211477056145668,,,500,,,0.6111111111111112,,False,,,,,,1,person,0.05,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.1,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.1,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.1,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,,-1,True,,0.6365320910973085,0.0010211477056145668,,,500,,,0.6111111111111112,,False,,,,,,1,person,0.1,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.2,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,0.998,998,True,0.3431987577639751,0.3431987577639751,0.013873342424631119,,-1.0,115,252.0,82.0,0.3253968253968254,0.424,True,0.44242424242424244,0.11392405063291139,0.0,,,1,person,0.2,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,115,252.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,person,0.2,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,,-1,True,,0.6365320910973085,0.0010211477056145668,,,500,,,0.6111111111111112,,False,,,,,,1,person,0.2,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.05,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.05,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.05,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,,-1,True,,0.6505376344086021,0.00017283661873079836,,,500,,,0.6341463414634146,,False,,,,,,1,rider,0.05,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.1,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.1,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.1,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,,-1,True,,0.6505376344086021,0.00017283661873079836,,,500,,,0.6341463414634146,,False,,,,,,1,rider,0.1,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.2,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.2,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.2,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,,-1,True,,0.6505376344086021,0.00017283661873079836,,,500,,,0.6341463414634146,,False,,,,,,1,rider,0.2,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.05,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.05,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.05,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,,-1,True,,0.7150537634408601,0.00017283661873079836,,,500,,,0.6829268292682927,,False,,,,,,1,rider,0.05,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.1,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.1,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.1,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,,-1,True,,0.7150537634408601,0.00017283661873079836,,,500,,,0.6829268292682927,,False,,,,,,1,rider,0.1,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.2,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.2,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,31,41.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,rider,0.2,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,,-1,True,,0.7150537634408601,0.00017283661873079836,,,500,,,0.6829268292682927,,False,,,,,,1,rider,0.2,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,bicycle,0.05,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,191
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,bicycle,0.05,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,191
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,bicycle,0.05,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,191
,,,,-1,True,,0.6655405405405406,0.00029489005100913346,,,500,,,0.6323529411764706,,False,,,,,,1,bicycle,0.05,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,191
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,bicycle,0.1,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,191
,,,1.0,1000,True,0.0,0.0,1.0,,-1.0,37,68.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,1,bicycle,0.1,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,191
