lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
1.0,1000,False,0.0,0.0,1.0,0.77,115,252,0.0,False,0.0,0.0,0.0,202.00009346009426,0.09009007151353066,0,person,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,202
1.0,1000,True,0.0,0.0,1.0,0.77,115,252,0.0,False,0.0,0.0,0.0,202.00009346009426,0.09009007151353066,0,person,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.987,987,True,0.25971014492753625,0.25971014492753625,0.004906791727989912,5.028,115,252,0.528,True,0.3212121212121212,0.0759493670886076,0.0,202.00009346009426,0.09009007151353066,0,person,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,202
1.0,1000,False,0.0,0.0,1.0,0.77,115,252,0.0,False,0.0,0.0,0.0,202.00009346009426,0.09009007151353066,0,person,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,202
1.0,1000,True,0.0,0.0,1.0,0.77,115,252,0.0,False,0.0,0.0,0.0,202.00009346009426,0.09009007151353066,0,person,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,202
0.996,996,True,0.24195652173913043,0.24195652173913043,0.008774833753705025,0.77,115,252,0.534,True,0.28484848484848485,0.08860759493670886,0.0,202.00009346009426,0.09009007151353066,0,person,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,202
1.0,1000,False,0.0,0.0,1.0,0.938,31,41,0.0,False,0.0,0.0,0.0,127.00009346010091,0.13605437940084877,0,rider,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,127
1.0,1000,False,0.0,0.0,1.0,0.938,31,41,0.0,False,0.0,0.0,0.0,127.00009346010091,0.13605437940084877,0,rider,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,127
1.0,1000,True,0.0,0.0,1.0,0.938,31,41,0.0,False,0.0,0.0,0.0,127.00009346010091,0.13605437940084877,0,rider,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,127
1.0,1000,False,0.0,0.0,1.0,0.938,31,41,0.0,False,0.0,0.0,0.0,127.00009346010091,0.13605437940084877,0,rider,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,127
1.0,1000,False,0.0,0.0,1.0,0.938,31,41,0.0,False,0.0,0.0,0.0,127.00009346010091,0.13605437940084877,0,rider,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,127
1.0,1000,True,0.0,0.0,1.0,0.938,31,41,0.0,False,0.0,0.0,0.0,127.00009346010091,0.13605437940084877,0,rider,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,127
1.0,1000,False,0.0,0.0,1.0,0.926,37,68,0.0,False,0.0,0.0,0.0,180.00008106232713,0.09999998092651731,0,bicycle,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,180
1.0,1000,True,0.0,0.0,1.0,0.926,37,68,0.0,False,0.0,0.0,0.0,180.00008106232713,0.09999998092651731,0,bicycle,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,180
0.996,996,True,0.15315315315315317,0.15315315315315317,0.003893413348123431,0.926,37,68,0.538,True,0.2,0.041666666666666664,0.0,180.00008106232713,0.09999998092651731,0,bicycle,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,180
1.0,1000,False,0.0,0.0,1.0,0.926,37,68,0.0,False,0.0,0.0,0.0,180.00008106232713,0.09999998092651731,0,bicycle,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,180
1.0,1000,True,0.0,0.0,1.0,0.926,37,68,0.0,False,0.0,0.0,0.0,180.00008106232713,0.09999998092651731,0,bicycle,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,180
0.999,999,True,0.12612612612612614,0.12612612612612614,0.007894272916018963,0.926,37,68,0.538,True,0.175,0.041666666666666664,0.0,180.00008106232713,0.09999998092651731,0,bicycle,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,180
1.0,1000,False,0.0,0.0,1.0,0.77,115,252,0.0,False,0.0,0.0,0.0,198.00009727479176,0.0917430983961564,1,person,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,198
1.0,1000,True,0.0,0.0,1.0,0.77,115,252,0.0,False,0.0,0.0,0.0,198.00009727479176,0.0917430983961564,1,person,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.987,987,True,0.25971014492753625,0.25971014492753625,0.004906791727989912,5.028,115,252,0.532,True,0.3212121212121212,0.0759493670886076,0.0,198.00009727479176,0.0917430983961564,1,person,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,198
1.0,1000,False,0.0,0.0,1.0,0.77,115,252,0.0,False,0.0,0.0,0.0,198.00009727479176,0.0917430983961564,1,person,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,198
1.0,1000,True,0.0,0.0,1.0,0.77,115,252,0.0,False,0.0,0.0,0.0,198.00009727479176,0.0917430983961564,1,person,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.995,995,True,0.2697101449275362,0.2697101449275362,0.0078914575278759,0.77,115,252,0.534,True,0.3212121212121212,0.10126582278481013,0.0,198.00009727479176,0.0917430983961564,1,person,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,198
1.0,1000,False,0.0,0.0,1.0,0.938,31,41,0.0,False,0.0,0.0,0.0,133.00001859664957,0.13071894447085228,1,rider,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,1000,False,0.0,0.0,1.0,0.938,31,41,0.0,False,0.0,0.0,0.0,133.00001859664957,0.13071894447085228,1,rider,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,1000,True,0.0,0.0,1.0,0.938,31,41,0.0,False,0.0,0.0,0.0,133.00001859664957,0.13071894447085228,1,rider,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,1000,False,0.0,0.0,1.0,0.938,31,41,0.0,False,0.0,0.0,0.0,133.00001859664957,0.13071894447085228,1,rider,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,1000,False,0.0,0.0,1.0,0.938,31,41,0.0,False,0.0,0.0,0.0,133.00001859664957,0.13071894447085228,1,rider,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,1000,True,0.0,0.0,1.0,0.938,31,41,0.0,False,0.0,0.0,0.0,133.00001859664957,0.13071894447085228,1,rider,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,133
1.0,1000,False,0.0,0.0,1.0,0.926,37,68,0.0,False,0.0,0.0,0.0,191.0001254081943,0.09478670243923605,1,bicycle,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,191
1.0,1000,True,0.0,0.0,1.0,0.926,37,68,0.0,False,0.0,0.0,0.0,191.0001254081943,0.09478670243923605,1,bicycle,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,191
0.996,996,True,0.15315315315315317,0.15315315315315317,0.003893413348123431,0.926,37,68,0.53,True,0.2,0.041666666666666664,0.0,191.0001254081943,0.09478670243923605,1,bicycle,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,191
1.0,1000,False,0.0,0.0,1.0,0.926,37,68,0.0,False,0.0,0.0,0.0,191.0001254081943,0.09478670243923605,1,bicycle,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,191
1.0,1000,True,0.0,0.0,1.0,0.926,37,68,0.0,False,0.0,0.0,0.0,191.0001254081943,0.09478670243923605,1,bicycle,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,191
0.999,999,True,0.12612612612612614,0.12612612612612614,0.007894272916018963,0.926,37,68,0.536,True,0.175,0.041666666666666664,0.0,191.0001254081943,0.09478670243923605,1,bicycle,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,191
1.0,1000,False,0.0,0.0,1.0,0.77,115,252,0.0,False,0.0,0.0,0.0,195.0000834465132,0.09302323930904667,2,person,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,195
1.0,1000,True,0.0,0.0,1.0,0.77,115,252,0.0,False,0.0,0.0,0.0,195.0000834465132,0.09302323930904667,2,person,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,195
