condition,class_name,seed,pool,n_cal,n_pool,n_target_total,c_low,kappa,ratio,alpha,rho,raw_median,raw_max,weight_p_test,lam,feasible,region_fnr,marked_area_fraction,weight_sum,weight_ess,frac_at_floor,weight_median,weight_max
fog,person,3,all,206,500,500,0.05,20.0,400.0,0.05,0.5,3.305153950350359e-05,0.0016612474573776126,0.6600659401200861,1.0,False,0.0,1.0,10.300003051757812,206.00012779238003,1.0,0.05000000074505806,0.05000000074505806
fog,person,3,all,206,500,500,0.05,20.0,400.0,0.1,0.5,3.305153950350359e-05,0.0016612474573776126,0.6600659401200861,1.0,False,0.0,1.0,10.300003051757812,206.00012779238003,1.0,0.05000000074505806,0.05000000074505806
fog,person,3,all,206,500,500,0.05,20.0,400.0,0.2,0.5,3.305153950350359e-05,0.0016612474573776126,0.6600659401200861,1.0,False,0.0,1.0,10.300003051757812,206.00012779238003,1.0,0.05000000074505806,0.05000000074505806
fog,person,3,class,206,115,500,0.05,2.0,40.0,0.05,0.5,0.00020081340335309505,0.008433831855654716,0.1626015856731171,1.0,False,0.0,1.0,10.300003051757812,206.00012779238003,1.0,0.05000000074505806,0.05000000074505806
fog,person,3,class,206,115,500,0.05,2.0,40.0,0.1,0.5,0.00020081340335309505,0.008433831855654716,0.1626015856731171,1.0,False,0.0,1.0,10.300003051757812,206.00012779238003,1.0,0.05000000074505806,0.05000000074505806
fog,person,3,class,206,115,500,0.05,2.0,40.0,0.2,0.5,0.00020081340335309505,0.008433831855654716,0.1626015856731171,0.9992308695597134,True,0.13333333333333333,0.01836284250020981,10.300003051757812,206.00012779238003,1.0,0.05000000074505806,0.05000000074505806
fog,person,3,class,206,115,500,0.05,5.0,100.0,0.05,0.5,0.00020081340335309505,0.008433831855654716,0.3267973204374983,1.0,False,0.0,1.0,10.300003051757812,206.00012779238003,1.0,0.05000000074505806,0.05000000074505806
fog,person,3,class,206,115,500,0.05,5.0,100.0,0.1,0.5,0.00020081340335309505,0.008433831855654716,0.3267973204374983,1.0,False,0.0,1.0,10.300003051757812,206.00012779238003,1.0,0.05000000074505806,0.05000000074505806
fog,person,3,class,206,115,500,0.05,5.0,100.0,0.2,0.5,0.00020081340335309505,0.008433831855654716,0.3267973204374983,1.0,False,0.0,1.0,10.300003051757812,206.00012779238003,1.0,0.05000000074505806,0.05000000074505806
fog,person,3,class,206,115,500,0.05,20.0,400.0,0.05,0.5,0.00020081340335309505,0.008433831855654716,0.6600659401200861,1.0,False,0.0,1.0,10.300003051757812,206.00012779238003,1.0,0.05000000074505806,0.05000000074505806
fog,person,3,class,206,115,500,0.05,20.0,400.0,0.1,0.5,0.00020081340335309505,0.008433831855654716,0.6600659401200861,1.0,False,0.0,1.0,10.300003051757812,206.00012779238003,1.0,0.05000000074505806,0.05000000074505806
fog,person,3,class,206,115,500,0.05,20.0,400.0,0.2,0.5,0.00020081340335309505,0.008433831855654716,0.6600659401200861,1.0,False,0.0,1.0,10.300003051757812,206.00012779238003,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,all,199,500,500,0.05,2.0,40.0,0.05,0.5,2.854505328286905e-05,0.001708689029328525,0.16736397933807196,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
fog,person,4,all,199,500,500,0.05,2.0,40.0,0.1,0.5,2.854505328286905e-05,0.001708689029328525,0.16736397933807196,1.0,False,0.0,1.0,9.950002670288086,199.00010585786293,1.0,0.05000000074505806,0.05000000074505806
